name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
2CRSI SA,1490000000.0,2019-01-02,17:35:16,8.28,0.12,0.0143,8.26,8.5,8.28,8.4,1271.0,154.53,nan
4Service Cloud Tech AG,nan,2018-12-28,03:01:10,0.09,0.02,0.2857,0.0,0.09,0.09,0.09,100.0,nan,nan
Acteos,38600000.0,2019-01-02,17:02:54,1.42,0.03,0.0216,1.42,1.43,1.39,1.42,802.0,10.92,nan
Actia group,679300000.0000001,2019-01-02,17:35:19,3.36,0.02,0.0059,3.26,3.37,3.3,3.38,22636.0,8.2,0.0355
Activium Group,nan,2019-01-02,16:30:01,1.0,0.09,0.08259999999999999,0.0,1.0,1.0,1.0,50.0,nan,nan
Adeunis RF SA,166200000.0,2019-01-02,17:05:38,7.34,0.0,0.0001,7.18,7.34,7.34,7.34,6.0,20.83,nan
Adthink,37900000.0,2019-01-02,17:22:54,0.67,0.04,0.0605,0.61,0.67,0.6,0.69,13649.0,0.97,nan
Alpha Mos,168299999.99999997,2018-12-29,03:01:10,0.36,0.0,0.0,0.32,0.36,0.32,0.36,1205.0,3.45,nan
Alten,24300000000.0,2019-01-02,17:35:08,72.45,0.25,0.0034000000000000002,72.0,73.5,71.25,73.1,40518.0,16.47,0.0138
Altran Technologies SA,17800000000.0,2019-01-02,17:35:12,6.81,0.2,0.0278,6.75,6.84,6.72,6.96,966193.0,14.51,0.034300000000000004
Anevia SA,80600000.0,2019-01-02,17:26:40,2.1,0.01,0.0048,2.08,2.1,2.08,2.1,1024.0,8.7,nan
Archos,206800000.0,2019-01-02,17:35:15,0.35,0.02,0.0507,0.35,0.37,0.34,0.36,668811.0,2.25,nan
Assima PLC,148200000.0,2018-11-27,15:28:18,1.95,0.0,0.0,0.0,1.95,1.95,1.95,200.0,nan,nan
Atari SA,858500000.0,2019-01-02,17:35:23,0.33,0.01,0.0264,0.33,0.33,0.33,0.34,887324.0,68.65,nan
Ateme SA,1138000000.0,2019-01-02,17:35:51,10.9,0.06,0.0055000000000000005,10.8,11.06,10.9,11.38,17181.0,30.28,nan
Atos SE,76300000000.0,2019-01-02,17:35:28,71.78,0.3,0.0042,70.0,72.24,69.84,72.16,283683.0,12.25,0.023799999999999998
Aubay,3696000000.0,2019-01-02,17:35:07,27.3,0.85,0.0302,27.15,27.3,26.75,28.3,9861.0,15.0,0.0181
Audiovalley SA,375800000.0,2019-01-02,16:21:29,4.5,0.0,0.0,4.5,4.5,4.5,4.54,656.0,5.25,nan
Avenir Télécom,nan,2019-01-02,15:34:14,0.16,0.0,0.026000000000000002,0.15,0.16,0.15,0.16,47192.0,0.84,nan
Awox SA,67300000.0,2019-01-02,17:35:29,0.9,0.02,0.0196,0.9,0.9,0.89,0.93,40480.0,0.82,nan
Axway Software,2623000000.0,2019-01-02,17:35:01,12.18,0.24,0.019299999999999998,12.04,12.8,12.0,12.24,1461.0,60.9,0.0161
Bigben Interactive,1562000000.0,2019-01-02,17:35:06,8.03,0.02,0.0025,8.01,8.2,7.8,8.35,28096.0,16.73,0.0125
Bilendi SA,341500000.0,2019-01-02,17:22:27,8.68,0.0,0.0,8.7,8.72,8.66,8.7,1100.0,18.6,nan
Blue Solutions SA,4754000000.0,2019-01-02,16:56:47,16.4,0.1,0.0060999999999999995,16.3,16.4,16.25,16.4,339.0,24.48,nan
Capgemini SE,145000000000.0,2019-01-02,17:35:25,84.26,2.54,0.029300000000000003,83.6,85.0,83.48,85.62,608460.0,19.06,0.0196
Cast,635000000.0,2019-01-02,17:28:07,3.78,0.13,0.0356,3.67,3.78,3.66,3.78,3340.0,8.4,nan
Cegedim SA,2762000000.0,2019-01-02,17:35:02,20.1,0.35,0.0177,19.0,22.8,19.75,20.1,560.0,39.87,nan
Cheops Technology France SA,nan,2019-01-01,03:00:54,34.6,3.2,0.10189999999999999,28.0,34.8,34.6,34.6,1.0,nan,nan
中國超節能控股有限公司,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Cibox Inter@ctive,98300000.0,2019-01-02,17:38:32,0.11,0.0,0.023700000000000002,0.11,0.11,0.1,0.11,306402.0,27.0,nan
Claranova SA,2421000000.0,2019-01-02,17:35:07,0.66,0.04,0.061399999999999996,0.65,0.66,0.56,0.66,8585831.0,26.32,nan
Cofidur SA,131500000.0,2019-01-02,15:15:08,345.0,5.0,0.0147,335.0,348.0,344.0,345.0,11.0,7.51,0.0235
Cogelec SA,575700000.0,2019-01-02,15:19:17,6.3,0.17,0.0263,6.25,7.0,6.3,6.56,7072.0,nan,nan
Coheris,85600000.0,2019-01-02,17:12:14,1.58,0.06,0.0366,1.58,1.6,1.55,1.64,3362.0,14.36,nan
Condor Technologies NV,nan,2018-11-21,03:01:07,16.2,1.2,0.08,0.7,17.0,16.2,16.2,2000.0,nan,nan
Consort NT,nan,2017-11-22,03:00:56,20.2,0.0,0.0,18.2,20.2,20.2,20.2,12.0,nan,0.0891
Dalenys SA,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0027
